timestamp, name, index, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W]
2022/11/17 17:49:26.746, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.55 W
2022/11/17 17:49:27.748, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.40 W
2022/11/17 17:49:27.748, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.61 W
2022/11/17 17:49:28.750, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.51 W
2022/11/17 17:49:28.751, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.37 W
2022/11/17 17:49:29.753, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.58 W
2022/11/17 17:49:29.754, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.43 W
2022/11/17 17:49:30.756, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.47 W
2022/11/17 17:49:30.756, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.56 W
2022/11/17 17:49:31.758, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.54 W
2022/11/17 17:49:31.759, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.43 W
2022/11/17 17:49:32.761, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.50 W
2022/11/17 17:49:32.762, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.49 W
2022/11/17 17:49:33.763, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.42 W
2022/11/17 17:49:33.764, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.37 W
2022/11/17 17:49:34.766, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.69 W
2022/11/17 17:49:34.767, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.38 W
2022/11/17 17:49:35.769, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.58 W
2022/11/17 17:49:35.769, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.73 W
2022/11/17 17:49:36.771, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.35 W
2022/11/17 17:49:36.772, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.50 W
2022/11/17 17:49:37.774, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.60 W
2022/11/17 17:49:37.775, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.15 W
2022/11/17 17:49:38.776, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.68 W
2022/11/17 17:49:38.777, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.50 W
2022/11/17 17:49:39.779, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.41 W
2022/11/17 17:49:39.780, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.66 W
2022/11/17 17:49:40.782, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.51 W
